state,date,dcfast_share
OR,2023-10-07,0.2408690176322418
OR,2024-10-07,0.2559433485078402
PA,2021-10-07,0.17640232108317214
PA,2022-10-07,0.1940941248846509
PA,2023-10-07,0.21825862473597746
PA,2024-10-07,0.23540633346051126
PR,2021-10-07,0.0
PR,2022-10-07,0.0
PR,2023-10-07,0.0
PR,2024-10-07,0.0
RI,2021-10-07,0.05663430420711974
RI,2022-10-07,0.08865710560625815
RI,2023-10-07,0.10034602076124567
RI,2024-10-07,0.105
SC,2021-10-07,0.19811320754716982
SC,2022-10-07,0.25766283524904215
SC,2023-10-07,0.3192771084337349
SC,2024-10-07,0.31807647740440326
SD,2021-10-07,0.4144736842105263
SD,2022-10-07,0.4318181818181818
SD,2023-10-07,0.4646017699115044
SD,2024-10-07,0.46785714285714286
TN,2021-10-07,0.13812154696132597
TN,2022-10-07,0.1564705882352941
TN,2023-10-07,0.19830827067669174
TN,2024-10-07,0.26739375705152313
TX,2021-10-07,0.1488599962313925
TX,2022-10-07,0.19661070139651654
TX,2023-10-07,0.25222222222222224
TX,2024-10-07,0.28161692211167877
UT,2021-10-07,0.1079136690647482
UT,2022-10-07,0.1323529411764706
UT,2023-10-07,0.14655172413793102
UT,2024-10-07,0.18201754385964913
VA,2021-10-07,0.2304918032786885
VA,2022-10-07,0.24250607615446934
VA,2023-10-07,0.2369826435246996
VA,2024-10-07,0.23990411211506546
VT,2021-10-07,0.0892018779342723
VT,2022-10-07,0.11123595505617978
VT,2023-10-07,0.118
VT,2024-10-07,0.16541978387364922
WA,2021-10-07,0.16639209225700163
WA,2022-10-07,0.1749945450578224
WA,2023-10-07,0.1686300908784921
WA,2024-10-07,0.20259410686592416
WI,2021-10-07,0.16025641025641027
WI,2022-10-07,0.23436041083099907
WI,2023-10-07,0.27903579254930605
WI,2024-10-07,0.30379008746355685
WV,2021-10-07,0.23310810810810811
WV,2022-10-07,0.2553763440860215
WV,2023-10-07,0.30679156908665106
WV,2024-10-07,0.31771894093686354
WY,2021-10-07,0.4230769230769231
WY,2022-10-07,0.4271356783919598
WY,2023-10-07,0.4448979591836735
WY,2024-10-07,0.4452296819787986
